Informazioni cronologiche;Indirizzo email;Full name: First name, middle name and surname;If your social name is different from your full name, use this space to write your preferred name.;Date of birth;Time zone;Link from other social networks social media platforms (Instagram, Facebook etc.);WhatsApp Phone Number (with DDD);Gender;Location (State, Country) - Birthplace;Location (State, Country) - Current state and country.;Is your English proficiency B2 or higher?;Race / Color;What is your religion?;How did you find out about the International Polyglot Youth project?;The International Polyglot Youth Project seeks young people from all over the world who are engaged and committed to equality and educational power. Tell us what you plan to do with the learning you will receive.;We want to democratize language learning for free and empower multilingual young people to use languages ​​as a mechanism for connecting different cultures and thus changing the world. How committed are you to this project? What do you expect from the International Polyglot Youth Project?;What language do you plan to learn? You can choose three languages. [Brazilian Portuguese];What language do you plan to learn? You can choose three languages. [Deutsch];What language do you plan to learn? You can choose three languages. [French];What language do you plan to learn? You can choose three languages. [German];What language do you plan to learn? You can choose three languages. [Hungarian];What language do you plan to learn? You can choose three languages. [Italian];What language do you plan to learn? You can choose three languages. [Korean];What language do you plan to learn? You can choose three languages. [Modern Standard Arabic];What language do you plan to learn? You can choose three languages. [Spanish];What language do you plan to learn? You can choose three languages. [Russian];In up to 150 words, explain why you are interested in learning this/these language(s) and how it aligns with your future plans.;List ALL the days and times you would have available to learn. [06:00];List ALL the days and times you would have available to learn. [06:30];List ALL the days and times you would have available to learn. [07:00];List ALL the days and times you would have available to learn. [07:30];List ALL the days and times you would have available to learn. [08:00];List ALL the days and times you would have available to learn. [08:30];List ALL the days and times you would have available to learn. [09:00];List ALL the days and times you would have available to learn. [09:30];List ALL the days and times you would have available to learn. [10:00];List ALL the days and times you would have available to learn. [10:30];List ALL the days and times you would have available to learn. [11:00];List ALL the days and times you would have available to learn. [11:30];List ALL the days and times you would have available to learn. [12:00];List ALL the days and times you would have available to learn. [12:30];List ALL the days and times you would have available to learn. [13:00];List ALL the days and times you would have available to learn. [13:30];List ALL the days and times you would have available to learn. [14:00];List ALL the days and times you would have available to learn. [14:30];List ALL the days and times you would have available to learn. [15:00];List ALL the days and times you would have available to learn. [15:30];List ALL the days and times you would have available to learn. [16:00];List ALL the days and times you would have available to learn. [16:30];List ALL the days and times you would have available to learn. [17:00];List ALL the days and times you would have available to learn. [17:30];List ALL the days and times you would have available to learn. [18:00];List ALL the days and times you would have available to learn. [18:30];List ALL the days and times you would have available to learn. [19:00];List ALL the days and times you would have available to learn. [19:30];List ALL the days and times you would have available to learn. [20:00];List ALL the days and times you would have available to learn. [20:30];List ALL the days and times you would have available to learn. [21:00];List ALL the days and times you would have available to learn. [21:30];List ALL the days and times you would have available to learn. [22:00];I have a computer, laptop, phone and/or tablet with stable internet access.;Is there anything more you have to tell us?;Do you agree with the terms and conditions set out in the notice and commit yourself to learn through weekly classes?
25/10/2021 14.14.05;2003andrepq@gmail.com;André Paredes;;06/12/2003;UTC -5;https://www.instagram.com/andreparedes06/;51952601920;Male;Arequipa, Peru;Arequipa, Peru;Yes;Brown;Catholic Christianity;International Polyglot Youth's Instagram;[Some text];[Some text];A1;;A1;;;B1;;;;A1;[Some text];;;;;;;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;Thursday, Saturday, Sunday;Thursday, Saturday, Sunday;Thursday, Saturday, Sunday;Thursday;Thursday;;;;;Friday, Saturday, Sunday;Friday, Saturday, Sunday;Friday, Saturday, Sunday;Saturday, Sunday;Monday, Tuesday, Saturday, Sunday;Monday, Tuesday, Saturday, Sunday;Monday, Tuesday, Saturday, Sunday;Monday, Tuesday, Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;;;;;;Yes, I do.;[Some text];Yes, I have read the eligibility criteria and am eligible to participate. I certify that all information written here is true. I certify that I have read and agree to the terms of responsibility set out in the notice and that I wish to submit my application.
01/01/2022;mentee1@mail.com;mentee1;tee;09/06/2006;GMT +5:45;https://www.instagram.com/andreparedes06/;2139514588;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];;A2;A1;;A2;A2;A1;A2;A2;A2;[Some text];['Monday', 'Tuesday', 'Saturday', 'Friday', 'Wednesday', 'Thursday'];['Friday', 'Tuesday', 'Saturday', 'Thursday'];['Wednesday', 'Tuesday', 'Thursday', 'Saturday', 'Sunday'];['Sunday', 'Thursday', 'Wednesday', 'Saturday', 'Friday'];['Saturday', 'Sunday', 'Tuesday', 'Wednesday', 'Friday'];['Wednesday', 'Monday', 'Sunday', 'Saturday'];['Sunday', 'Monday', 'Saturday', 'Wednesday', 'Tuesday'];['Friday', 'Sunday', 'Thursday', 'Monday', 'Wednesday'];['Friday', 'Wednesday', 'Tuesday', 'Sunday'];['Wednesday', 'Thursday', 'Sunday', 'Monday'];['Tuesday', 'Saturday', 'Thursday', 'Sunday', 'Friday'];['Monday', 'Sunday', 'Wednesday', 'Tuesday', 'Saturday', 'Friday'];['Wednesday', 'Friday', 'Saturday', 'Thursday', 'Monday'];['Sunday', 'Monday', 'Saturday', 'Tuesday', 'Friday'];['Wednesday', 'Sunday', 'Saturday', 'Friday'];['Wednesday', 'Sunday', 'Monday', 'Thursday', 'Friday', 'Tuesday'];['Friday', 'Monday', 'Wednesday', 'Tuesday', 'Sunday', 'Saturday'];['Tuesday', 'Saturday', 'Wednesday', 'Thursday', 'Friday', 'Sunday'];['Wednesday', 'Friday', 'Saturday', 'Tuesday', 'Monday'];['Saturday', 'Tuesday', 'Wednesday'];['Thursday', 'Tuesday', 'Sunday', 'Wednesday'];['Tuesday', 'Wednesday', 'Monday', 'Sunday', 'Saturday'];['Friday', 'Monday', 'Saturday', 'Tuesday', 'Thursday'];['Wednesday', 'Saturday', 'Thursday', 'Monday'];['Sunday', 'Friday', 'Thursday', 'Saturday', 'Wednesday'];['Wednesday', 'Saturday', 'Friday', 'Monday'];['Sunday', 'Tuesday', 'Saturday', 'Wednesday', 'Monday', 'Friday'];['Saturday', 'Friday', 'Thursday', 'Sunday', 'Tuesday'];['Friday', 'Tuesday', 'Thursday', 'Monday'];['Thursday', 'Saturday', 'Tuesday'];['Thursday', 'Sunday', 'Saturday', 'Monday'];['Tuesday', 'Wednesday', 'Saturday', 'Monday'];['Saturday', 'Sunday', 'Friday', 'Thursday', 'Monday'];Yes, I do;[Some text];Yes
01/01/2022;mentee2@mail.com;mentee2;tee;08/08/1995;GMT +12;https://www.instagram.com/andreparedes06/;6470172251;[Other];Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];A1;A1;A1;A2;;A1;B2;A1;;B2;[Some text];['Friday', 'Tuesday', 'Thursday', 'Saturday', 'Sunday', 'Wednesday'];['Saturday', 'Monday', 'Tuesday', 'Sunday', 'Friday'];['Saturday', 'Sunday', 'Wednesday', 'Friday'];['Wednesday', 'Friday', 'Monday', 'Thursday'];['Wednesday', 'Sunday', 'Monday', 'Tuesday'];['Tuesday', 'Wednesday', 'Saturday', 'Monday', 'Sunday'];['Saturday', 'Tuesday', 'Friday', 'Thursday', 'Wednesday'];['Friday', 'Tuesday', 'Thursday', 'Sunday'];['Monday', 'Sunday', 'Saturday', 'Thursday'];['Tuesday', 'Sunday', 'Saturday', 'Thursday', 'Monday'];['Saturday', 'Tuesday', 'Friday', 'Monday', 'Thursday'];['Tuesday', 'Sunday', 'Thursday', 'Wednesday', 'Friday'];['Sunday', 'Saturday', 'Monday', 'Thursday'];['Thursday', 'Friday', 'Tuesday', 'Saturday'];['Saturday', 'Friday', 'Wednesday', 'Sunday', 'Monday'];['Monday', 'Tuesday', 'Saturday'];['Thursday', 'Friday', 'Tuesday', 'Saturday', 'Wednesday'];['Saturday', 'Wednesday', 'Sunday', 'Friday'];['Sunday', 'Wednesday', 'Tuesday', 'Friday', 'Monday'];['Tuesday', 'Wednesday', 'Sunday', 'Thursday', 'Friday'];['Thursday', 'Tuesday', 'Monday', 'Saturday', 'Friday'];['Monday', 'Friday', 'Sunday', 'Thursday', 'Wednesday'];['Saturday', 'Friday', 'Tuesday', 'Monday'];['Tuesday', 'Wednesday', 'Thursday', 'Sunday'];['Wednesday', 'Friday', 'Saturday', 'Monday'];['Tuesday', 'Sunday', 'Friday', 'Monday', 'Saturday'];['Saturday', 'Sunday', 'Monday', 'Thursday', 'Wednesday'];['Monday', 'Sunday', 'Saturday', 'Friday'];['Thursday', 'Tuesday', 'Friday', 'Saturday', 'Monday'];['Friday', 'Sunday', 'Saturday', 'Monday'];['Saturday', 'Tuesday', 'Sunday', 'Friday', 'Thursday', 'Monday', 'Wednesday'];['Monday', 'Tuesday', 'Saturday', 'Sunday', 'Wednesday', 'Thursday'];['Saturday', 'Thursday', 'Tuesday', 'Friday'];Yes, I do;[Some text];Yes
01/01/2022;mentee3@mail.com;mentee3;tee;28/06/2008;GMT -9:30;https://www.instagram.com/andreparedes06/;6166825568;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];A1;B1;B1;;B2;B1;;;B1;;[Some text];['Tuesday', 'Sunday', 'Saturday', 'Wednesday', 'Thursday'];['Wednesday', 'Thursday', 'Monday', 'Sunday'];['Saturday', 'Tuesday', 'Sunday', 'Wednesday'];['Tuesday', 'Thursday', 'Saturday', 'Sunday'];['Tuesday', 'Saturday', 'Thursday', 'Monday'];['Tuesday', 'Thursday', 'Wednesday', 'Saturday', 'Monday', 'Friday'];['Tuesday', 'Thursday', 'Saturday', 'Sunday'];['Saturday', 'Friday', 'Sunday'];['Wednesday', 'Friday', 'Monday', 'Saturday'];['Saturday', 'Thursday', 'Friday', 'Tuesday', 'Sunday'];['Monday', 'Saturday', 'Sunday', 'Thursday'];['Monday', 'Thursday', 'Friday', 'Sunday', 'Saturday'];['Wednesday', 'Monday', 'Saturday', 'Sunday', 'Thursday'];['Sunday', 'Wednesday', 'Tuesday'];['Thursday', 'Tuesday', 'Friday', 'Wednesday', 'Sunday'];['Monday', 'Sunday', 'Thursday', 'Friday', 'Saturday'];['Friday', 'Sunday', 'Thursday'];['Friday', 'Thursday', 'Saturday', 'Monday', 'Tuesday'];['Sunday', 'Monday', 'Friday'];['Monday', 'Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Wednesday'];['Saturday', 'Friday', 'Sunday', 'Thursday'];['Sunday', 'Saturday', 'Friday', 'Thursday', 'Tuesday'];['Friday', 'Thursday', 'Saturday', 'Tuesday', 'Sunday'];['Thursday', 'Saturday', 'Sunday', 'Friday', 'Tuesday'];['Monday', 'Sunday', 'Saturday', 'Thursday', 'Friday', 'Wednesday'];['Sunday', 'Saturday', 'Wednesday', 'Tuesday'];['Monday', 'Thursday', 'Friday', 'Sunday', 'Saturday'];['Wednesday', 'Saturday', 'Tuesday', 'Sunday', 'Thursday'];['Saturday', 'Thursday', 'Monday', 'Friday', 'Wednesday', 'Sunday', 'Tuesday'];['Tuesday', 'Friday', 'Wednesday', 'Monday', 'Saturday'];['Wednesday', 'Friday', 'Thursday', 'Saturday', 'Tuesday'];['Monday', 'Thursday', 'Sunday', 'Wednesday'];['Sunday', 'Monday', 'Tuesday', 'Friday', 'Saturday', 'Thursday'];Yes, I do;[Some text];Yes
01/01/2022;mentee4@mail.com;mentee4;tee;09/03/2002;GMT -8;https://www.instagram.com/andreparedes06/;5044570300;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];B1;A2;B2;A1;A2;;A1;B2;A1;B1;[Some text];['Monday', 'Saturday', 'Sunday', 'Wednesday'];['Sunday', 'Wednesday', 'Thursday', 'Tuesday', 'Saturday'];['Saturday', 'Tuesday', 'Sunday', 'Friday', 'Wednesday'];['Saturday', 'Friday', 'Sunday', 'Wednesday'];['Monday', 'Thursday', 'Tuesday', 'Sunday', 'Wednesday', 'Friday'];['Friday', 'Wednesday', 'Tuesday', 'Saturday'];['Monday', 'Friday', 'Tuesday', 'Sunday', 'Wednesday'];['Sunday', 'Saturday', 'Tuesday', 'Thursday'];['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Saturday'];['Tuesday', 'Thursday', 'Friday', 'Sunday', 'Monday'];['Monday', 'Wednesday', 'Tuesday'];['Wednesday', 'Monday', 'Saturday', 'Sunday'];['Monday', 'Sunday', 'Saturday', 'Wednesday', 'Thursday'];['Monday', 'Wednesday', 'Sunday'];['Thursday', 'Tuesday', 'Sunday', 'Monday', 'Friday', 'Saturday'];['Wednesday', 'Sunday', 'Monday', 'Thursday', 'Tuesday'];['Friday', 'Saturday', 'Monday', 'Sunday', 'Thursday'];['Saturday', 'Tuesday', 'Sunday', 'Wednesday', 'Monday'];['Friday', 'Tuesday', 'Sunday', 'Thursday'];['Monday', 'Wednesday', 'Sunday', 'Saturday', 'Tuesday'];['Thursday', 'Saturday', 'Tuesday', 'Sunday'];['Monday', 'Tuesday', 'Wednesday'];['Thursday', 'Wednesday', 'Monday', 'Tuesday', 'Saturday'];['Monday', 'Thursday', 'Wednesday', 'Sunday', 'Tuesday'];['Saturday', 'Sunday', 'Tuesday', 'Thursday', 'Monday'];['Friday', 'Thursday', 'Sunday', 'Wednesday'];['Wednesday', 'Thursday', 'Tuesday', 'Saturday', 'Monday', 'Sunday'];['Thursday', 'Friday', 'Saturday', 'Tuesday', 'Monday'];['Wednesday', 'Sunday', 'Saturday', 'Tuesday', 'Monday'];['Monday', 'Saturday', 'Sunday', 'Tuesday', 'Thursday'];['Monday', 'Wednesday', 'Friday', 'Thursday'];['Monday', 'Thursday', 'Tuesday', 'Friday', 'Wednesday'];['Thursday', 'Tuesday', 'Saturday', 'Sunday', 'Friday'];Yes, I do;[Some text];Yes
01/01/2022;mentee5@mail.com;mentee5;tee;21/11/2000;GMT -2:30;https://www.instagram.com/andreparedes06/;4392713864;Female;Somewhere, Else;Not, Important;No;bot;ohn McCarthy;Instagram;[Some text];[Some text];B1;;;;A2;A1;A1;B1;B1;B2;[Some text];['Monday', 'Friday', 'Sunday', 'Thursday'];['Saturday', 'Friday', 'Monday', 'Wednesday', 'Sunday', 'Thursday'];['Thursday', 'Saturday', 'Friday', 'Wednesday', 'Tuesday'];['Wednesday', 'Saturday', 'Thursday', 'Friday', 'Tuesday', 'Sunday'];['Saturday', 'Friday', 'Thursday', 'Wednesday', 'Sunday'];['Wednesday', 'Tuesday', 'Friday', 'Thursday', 'Sunday'];['Wednesday', 'Thursday', 'Tuesday', 'Sunday', 'Saturday'];['Thursday', 'Friday', 'Sunday', 'Tuesday', 'Monday'];['Saturday', 'Monday', 'Wednesday', 'Sunday', 'Friday'];['Saturday', 'Monday', 'Friday', 'Wednesday', 'Thursday'];['Friday', 'Sunday', 'Monday', 'Tuesday'];['Sunday', 'Friday', 'Thursday', 'Monday', 'Saturday'];['Thursday', 'Saturday', 'Sunday', 'Friday'];['Monday', 'Tuesday', 'Saturday', 'Sunday'];['Sunday', 'Tuesday', 'Saturday', 'Wednesday', 'Friday'];['Tuesday', 'Saturday', 'Friday'];['Sunday', 'Tuesday', 'Monday', 'Friday', 'Thursday', 'Saturday'];['Thursday', 'Sunday', 'Wednesday', 'Tuesday', 'Monday'];['Tuesday', 'Sunday', 'Wednesday', 'Monday'];['Tuesday', 'Sunday', 'Saturday', 'Wednesday', 'Thursday'];['Sunday', 'Thursday', 'Tuesday', 'Wednesday', 'Saturday'];['Saturday', 'Sunday', 'Friday', 'Monday'];['Thursday', 'Saturday', 'Sunday', 'Tuesday', 'Monday'];['Monday', 'Sunday', 'Friday', 'Wednesday'];['Saturday', 'Wednesday', 'Thursday', 'Monday'];['Monday', 'Saturday', 'Thursday', 'Friday'];['Friday', 'Wednesday', 'Sunday', 'Tuesday', 'Thursday'];['Saturday', 'Sunday', 'Tuesday', 'Monday'];['Sunday', 'Tuesday', 'Wednesday', 'Monday', 'Saturday', 'Thursday'];['Monday', 'Thursday', 'Sunday', 'Wednesday', 'Friday'];['Sunday', 'Monday', 'Wednesday', 'Thursday', 'Friday'];['Wednesday', 'Thursday', 'Saturday', 'Sunday', 'Tuesday'];['Monday', 'Thursday', 'Wednesday', 'Tuesday', 'Sunday'];Yes, I do;[Some text];Yes
01/01/2022;mentee6@mail.com;mentee6;tee;02/02/1995;GMT +7;https://www.instagram.com/andreparedes06/;4302125812;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];;B2;A1;;B2;;A1;B1;A2;A2;[Some text];['Tuesday', 'Thursday', 'Saturday', 'Sunday'];['Friday', 'Thursday', 'Sunday', 'Saturday'];['Thursday', 'Monday', 'Sunday', 'Saturday'];['Saturday', 'Wednesday', 'Thursday', 'Friday', 'Monday'];['Friday', 'Sunday', 'Wednesday', 'Monday', 'Tuesday'];['Tuesday', 'Wednesday', 'Friday', 'Saturday'];['Saturday', 'Wednesday', 'Sunday', 'Tuesday'];['Friday', 'Thursday', 'Saturday', 'Monday'];['Thursday', 'Saturday', 'Wednesday', 'Sunday', 'Friday', 'Tuesday'];['Saturday', 'Monday', 'Sunday', 'Wednesday'];['Thursday', 'Monday', 'Wednesday', 'Sunday'];['Tuesday', 'Wednesday', 'Sunday'];['Tuesday', 'Wednesday', 'Thursday', 'Sunday', 'Friday'];['Tuesday', 'Wednesday', 'Thursday', 'Saturday'];['Sunday', 'Thursday', 'Saturday', 'Monday'];['Sunday', 'Thursday', 'Monday', 'Tuesday', 'Saturday'];['Sunday', 'Monday', 'Wednesday', 'Thursday'];['Tuesday', 'Sunday', 'Monday', 'Friday', 'Saturday'];['Saturday', 'Wednesday', 'Friday', 'Monday', 'Sunday', 'Tuesday'];['Wednesday', 'Monday', 'Thursday', 'Tuesday', 'Friday'];['Saturday', 'Tuesday', 'Wednesday', 'Monday', 'Sunday'];['Sunday', 'Monday', 'Friday', 'Tuesday', 'Saturday', 'Wednesday'];['Monday', 'Tuesday', 'Saturday', 'Thursday', 'Sunday', 'Wednesday'];['Friday', 'Thursday', 'Tuesday', 'Sunday', 'Saturday'];['Monday', 'Tuesday', 'Wednesday', 'Friday'];['Monday', 'Tuesday', 'Sunday', 'Wednesday'];['Monday', 'Sunday', 'Friday'];['Tuesday', 'Monday', 'Sunday', 'Friday'];['Friday', 'Monday', 'Wednesday', 'Sunday', 'Tuesday'];['Sunday', 'Monday', 'Friday', 'Saturday', 'Thursday'];['Sunday', 'Tuesday', 'Saturday', 'Friday'];['Saturday', 'Tuesday', 'Sunday', 'Monday', 'Thursday', 'Friday'];['Monday', 'Thursday', 'Saturday'];Yes, I do;[Some text];Yes
01/01/2022;mentee7@mail.com;mentee7;tee;23/12/2010;GMT +1;https://www.instagram.com/andreparedes06/;6278171198;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];;;B2;B1;;;B1;;B2;A1;[Some text];['Monday', 'Tuesday', 'Wednesday', 'Saturday'];['Wednesday', 'Thursday', 'Tuesday', 'Sunday', 'Monday', 'Saturday'];['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday'];['Friday', 'Wednesday', 'Sunday', 'Thursday'];['Thursday', 'Monday', 'Tuesday', 'Friday', 'Saturday'];['Sunday', 'Wednesday', 'Thursday', 'Saturday', 'Friday'];['Thursday', 'Friday', 'Wednesday', 'Tuesday', 'Monday'];['Friday', 'Tuesday', 'Saturday', 'Monday', 'Thursday'];['Thursday', 'Saturday', 'Monday', 'Tuesday'];['Thursday', 'Saturday', 'Tuesday', 'Friday', 'Monday', 'Wednesday'];['Saturday', 'Thursday', 'Tuesday', 'Friday', 'Wednesday'];['Friday', 'Thursday', 'Wednesday', 'Tuesday', 'Saturday'];['Wednesday', 'Friday', 'Thursday', 'Monday', 'Saturday', 'Tuesday'];['Thursday', 'Friday', 'Monday', 'Sunday', 'Wednesday'];['Tuesday', 'Wednesday', 'Friday', 'Sunday', 'Thursday', 'Saturday'];['Thursday', 'Wednesday', 'Tuesday', 'Saturday', 'Sunday'];['Thursday', 'Monday', 'Wednesday', 'Sunday', 'Saturday'];['Sunday', 'Friday', 'Wednesday', 'Tuesday'];['Monday', 'Sunday', 'Tuesday', 'Wednesday', 'Friday'];['Friday', 'Monday', 'Saturday', 'Tuesday', 'Thursday'];['Wednesday', 'Friday', 'Monday', 'Saturday'];['Monday', 'Tuesday', 'Friday', 'Saturday', 'Wednesday'];['Wednesday', 'Saturday', 'Tuesday', 'Thursday', 'Sunday'];['Friday', 'Tuesday', 'Thursday', 'Sunday'];['Monday', 'Sunday', 'Friday', 'Wednesday', 'Saturday'];['Tuesday', 'Thursday', 'Saturday', 'Friday'];['Wednesday', 'Saturday', 'Monday', 'Thursday', 'Tuesday'];['Saturday', 'Sunday', 'Tuesday', 'Monday', 'Thursday', 'Friday'];['Sunday', 'Saturday', 'Friday', 'Tuesday'];['Sunday', 'Monday', 'Tuesday', 'Wednesday', 'Saturday'];['Wednesday', 'Tuesday', 'Monday', 'Saturday'];['Wednesday', 'Thursday', 'Saturday'];['Sunday', 'Monday', 'Saturday', 'Wednesday'];Yes, I do;[Some text];Yes
01/01/2022;mentee8@mail.com;mentee8;tee;02/05/2001;GMT -4;https://www.instagram.com/andreparedes06/;4673828212;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];B2;A1;A1;A2;B2;B2;A2;B2;A1;;[Some text];['Saturday', 'Tuesday', 'Thursday', 'Friday', 'Wednesday'];['Tuesday', 'Monday', 'Friday', 'Thursday', 'Saturday'];['Monday', 'Wednesday', 'Friday'];['Friday', 'Saturday', 'Sunday'];['Sunday', 'Friday', 'Saturday', 'Monday', 'Wednesday'];['Wednesday', 'Monday', 'Saturday', 'Tuesday'];['Monday', 'Friday', 'Wednesday', 'Sunday', 'Thursday'];['Tuesday', 'Monday', 'Sunday', 'Saturday', 'Friday'];['Friday', 'Thursday', 'Monday', 'Wednesday', 'Saturday'];['Saturday', 'Friday', 'Thursday', 'Monday', 'Tuesday'];['Friday', 'Tuesday', 'Sunday', 'Wednesday'];['Thursday', 'Monday', 'Sunday', 'Wednesday', 'Saturday'];['Friday', 'Thursday', 'Monday', 'Tuesday', 'Wednesday'];['Thursday', 'Friday', 'Saturday', 'Wednesday', 'Monday', 'Sunday'];['Saturday', 'Friday', 'Monday', 'Tuesday', 'Sunday'];['Thursday', 'Tuesday', 'Saturday', 'Monday', 'Wednesday'];['Saturday', 'Wednesday', 'Tuesday', 'Thursday', 'Friday'];['Monday', 'Wednesday', 'Sunday', 'Tuesday'];['Saturday', 'Tuesday', 'Sunday', 'Monday', 'Thursday', 'Friday'];['Saturday', 'Thursday', 'Wednesday', 'Tuesday'];['Thursday', 'Saturday', 'Sunday', 'Wednesday', 'Friday', 'Monday'];['Friday', 'Thursday', 'Monday', 'Wednesday'];['Friday', 'Sunday', 'Thursday', 'Wednesday', 'Monday'];['Saturday', 'Monday', 'Friday', 'Tuesday', 'Sunday'];['Tuesday', 'Monday', 'Saturday', 'Friday'];['Monday', 'Sunday', 'Wednesday', 'Tuesday', 'Saturday'];['Saturday', 'Sunday', 'Thursday', 'Wednesday'];['Tuesday', 'Sunday', 'Saturday', 'Wednesday', 'Friday'];['Wednesday', 'Friday', 'Sunday', 'Saturday', 'Thursday'];['Friday', 'Thursday', 'Saturday', 'Sunday'];['Friday', 'Tuesday', 'Sunday', 'Thursday', 'Saturday'];['Monday', 'Wednesday', 'Friday', 'Sunday', 'Saturday'];['Friday', 'Wednesday', 'Tuesday', 'Sunday', 'Monday'];Yes, I do;[Some text];Yes
01/01/2022;mentee9@mail.com;mentee9;tee;09/08/2001;GMT +12;https://www.instagram.com/andreparedes06/;9807802495;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];A2;A1;;;;B1;;A2;B2;B1;[Some text];['Saturday', 'Friday', 'Monday', 'Wednesday', 'Sunday'];['Monday', 'Wednesday', 'Friday', 'Tuesday', 'Thursday'];['Saturday', 'Friday', 'Sunday', 'Wednesday', 'Thursday'];['Sunday', 'Saturday', 'Monday'];['Tuesday', 'Sunday', 'Thursday', 'Friday', 'Saturday'];['Tuesday', 'Saturday', 'Thursday', 'Wednesday', 'Friday'];['Thursday', 'Wednesday', 'Saturday', 'Sunday', 'Friday', 'Tuesday'];['Tuesday', 'Friday', 'Sunday', 'Wednesday', 'Thursday'];['Friday', 'Monday', 'Sunday', 'Thursday', 'Tuesday', 'Wednesday'];['Saturday', 'Wednesday', 'Monday', 'Sunday'];['Wednesday', 'Sunday', 'Friday', 'Saturday'];['Friday', 'Saturday', 'Thursday', 'Tuesday', 'Monday'];['Thursday', 'Sunday', 'Wednesday', 'Friday'];['Friday', 'Thursday', 'Tuesday', 'Saturday'];['Thursday', 'Tuesday', 'Sunday', 'Monday', 'Wednesday'];['Friday', 'Monday', 'Thursday', 'Tuesday', 'Sunday'];['Thursday', 'Saturday', 'Monday', 'Sunday'];['Wednesday', 'Friday', 'Monday', 'Saturday', 'Tuesday'];['Sunday', 'Thursday', 'Wednesday', 'Friday', 'Monday'];['Monday', 'Wednesday', 'Thursday'];['Wednesday', 'Friday', 'Tuesday', 'Saturday'];['Monday', 'Tuesday', 'Saturday', 'Wednesday', 'Sunday'];['Tuesday', 'Sunday', 'Friday', 'Wednesday'];['Wednesday', 'Friday', 'Thursday', 'Saturday', 'Monday'];['Sunday', 'Thursday', 'Monday', 'Friday', 'Wednesday'];['Sunday', 'Monday', 'Friday', 'Thursday'];['Tuesday', 'Thursday', 'Friday', 'Saturday'];['Monday', 'Friday', 'Wednesday', 'Saturday'];['Saturday', 'Friday', 'Tuesday', 'Sunday', 'Monday'];['Tuesday', 'Thursday', 'Sunday', 'Saturday', 'Monday'];['Sunday', 'Wednesday', 'Friday', 'Saturday'];['Saturday', 'Sunday', 'Thursday', 'Monday'];['Friday', 'Sunday', 'Wednesday', 'Tuesday'];Yes, I do;[Some text];Yes
