Informazioni cronologiche;Indirizzo email;Full name: First name, middle name and surname;If your social name is different from your full name, use this space to write your preferred name.;Date of birth;Time zone;Link from other social networks social media platforms (Instagram, Facebook etc.);WhatsApp Phone Number (with DDD);Gender;Location (State, Country);Location (State, Country).1;Is your proficiency B2 or higher?;Race / Color;What is your religion?;How did you find out about the International Polyglot Youth project?;International Polyglot Youth believes in the transformative power of knowledge of foreign cultures and languages. Tell us, in up to 150 words, about a situation in which you realized the importance of foreign languages in your trajectory.;In the IPY project, we value cultural differences and teamwork, as we believe they connect us and help us create a more egalitarian and respectful world. In this way, describe in up to 100 words a time when you did not lead a team work well and what you learned from it.;We want to democratize language learning for free and empower multilingual young people to use languages ​​as a mechanism for connecting different cultures and thus changing the world. How committed are you to this project? What do you expect from the International Polyglot Youth Project? Describe in up to 150 words.;What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Brazilian Portuguese];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Deutsch];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [English];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [French];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [German];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Hungarian];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Italian];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Korean];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Modern Standard Arabic];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Spanish];What language do you plan to teach? Select only the languages you want to teach and leave the others as blank answers [Russian];Is there any other language that you would like to teach? If so, write it please;Do you have any experience in teaching?;If you do, tell us more about it.;How did you learn the language you intend to teach?;If you have a certificate in the language(s) you plan to teach, please attach it below. Certificates such as IELTS, TOEFL, TOPIK, DELE etc.;List ALL the days and times you would have available to teach. [06:00];List ALL the days and times you would have available to teach. [06:30];List ALL the days and times you would have available to teach. [07:00];List ALL the days and times you would have available to teach. [07:30];List ALL the days and times you would have available to teach. [08:00];List ALL the days and times you would have available to teach. [08:30];List ALL the days and times you would have available to teach. [09:00];List ALL the days and times you would have available to teach. [09:30];List ALL the days and times you would have available to teach. [10:00];List ALL the days and times you would have available to teach. [10:30];List ALL the days and times you would have available to teach. [11:00];List ALL the days and times you would have available to teach. [11:30];List ALL the days and times you would have available to teach. [12:00];List ALL the days and times you would have available to teach. [12:30];List ALL the days and times you would have available to teach. [13:00];List ALL the days and times you would have available to teach. [13:30];List ALL the days and times you would have available to teach. [14:00];List ALL the days and times you would have available to teach. [14:30];List ALL the days and times you would have available to teach. [15:00];List ALL the days and times you would have available to teach. [15:30];List ALL the days and times you would have available to teach. [16:00];List ALL the days and times you would have available to teach. [16:30];List ALL the days and times you would have available to teach. [17:00];List ALL the days and times you would have available to teach. [17:30];List ALL the days and times you would have available to teach. [18:00];List ALL the days and times you would have available to teach. [18:30];List ALL the days and times you would have available to teach. [19:00];List ALL the days and times you would have available to teach. [19:30];List ALL the days and times you would have available to teach. [20:00];List ALL the days and times you would have available to teach. [20:30];List ALL the days and times you would have available to teach. [21:00];List ALL the days and times you would have available to teach. [21:30];List ALL the days and times you would have available to teach. [22:00];I have a computer, laptop, phone and/or tablet with stable internet access.;Is there anything more you have to tell us?;Do you agree with the terms and conditions set out in the notice and commit yourself to teaching weekly classes?
26/10/2021 1.24.13;2003andrepq@gmail.com;André Paredes;;06/12/2003;GMT -5;https://www.instagram.com/andreparedes06/;51952601920;Male;Arequipa, Peru;Arequipa, Peru;Yes;Brown;Catholic Christianity;International Polyglot Youth's Instagram;[Some text];[Some text];[Some text];;;Language certificate;;;;Language certificate;;;Native Speaker;;[Some text];No;[Some text];[Some text];https://drive.google.com/open?id=1saZl0IlfRens0tl3nKkjUxenU-e2fXes;;;;;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;;;;;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;Saturday, Sunday;;;;;;Yes, I do.;[Some text];Yes, I have read the eligibility criteria and am eligible to participate. I certify that all information written here is true. I certify that I have read and agree to the terms of responsibility set out in the notice and that I wish to submit my application.
01/01/2022;mentee1@mail.com;mentor1;tor;26/02/2004;GMT +5:30;https://www.instagram.com/andreparedes06/;6525561711;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;;;Self learning;Self learning;;Language certificate;Language certificate;Language certificate;Language certificate;Self learning;[Some text];Yes;[Some text];[Some text];[Some link];;Tuesday;;Thursday, Friday;;;;;;;Sunday;;;;;Wednesday;;;;Wednesday;Sunday;;;;;;;;;;;;Sunday;Yes, I do;[Some text];Yes
01/01/2022;mentee2@mail.com;mentor2;tor;15/02/2010;GMT -2;https://www.instagram.com/andreparedes06/;5247916151;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Self learning;Native Speaker;;;;;Self learning;;;Language certificate;[Some text];Yes;[Some text];[Some text];[Some link];;;Monday;;Saturday;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee3@mail.com;mentor3;tor;07/09/2001;GMT +5;https://www.instagram.com/andreparedes06/;3800846971;Female;Somewhere, Else;Not, Important;No;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Language certificate;;Self learning;Language certificate;Language certificate;Language certificate;;;Language certificate;;[Some text];No;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;;;;;;Tuesday;;;;Monday;;Monday;Friday;;;Sunday;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee4@mail.com;mentor4;tor;19/05/1997;GMT +7;https://www.instagram.com/andreparedes06/;8895469227;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Language certificate;;;Native Speaker;;;Self learning;Language certificate;Language certificate;Language certificate;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;Sunday;;;;;;Tuesday;;Friday;;Friday;Sunday;;;;;Thursday;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee5@mail.com;mentor5;tor;28/07/2008;GMT -1;https://www.instagram.com/andreparedes06/;5737339078;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Native Speaker;Language certificate;;;;;Language certificate;Language certificate;Language certificate;Language certificate;;[Some text];No;[Some text];[Some text];[Some link];Friday;;;;;;Saturday;;Friday;;;;;;;;;;;Thursday;;;;;;;;;;;;Sunday;;Yes, I do;[Some text];Yes
01/01/2022;mentee6@mail.com;mentor6;tor;22/11/1998;GMT +8:45;https://www.instagram.com/andreparedes06/;8036692036;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Self learning;;;Language certificate;;Native Speaker;;;Self learning;;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;;;;;;Tuesday;;;Tuesday;;;;;;Wednesday;;;;;;;;;;;Wednesday;Yes, I do;[Some text];Yes
01/01/2022;mentee7@mail.com;mentor7;tor;01/01/1996;GMT +10:30;https://www.instagram.com/andreparedes06/;1136610735;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Native Speaker;Native Speaker;Native Speaker;;;Language certificate;Language certificate;Language certificate;Self learning;Language certificate;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;Monday, Friday;;;;;;;;Friday;;;;;;;;;;Sunday;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee8@mail.com;mentor8;tor;22/03/1995;GMT +0;https://www.instagram.com/andreparedes06/;5230926966;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Self learning;Native Speaker;;;Language certificate;;Language certificate;Self learning;Language certificate;;Language certificate;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;Thursday;;;;Friday;;;Sunday;Wednesday;;Monday, Thursday;;;;;;;;;Thursday;Saturday;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee9@mail.com;mentor9;tor;12/06/1996;GMT +2;https://www.instagram.com/andreparedes06/;4886864518;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Self learning;;;;;Language certificate;Language certificate;Language certificate;Native Speaker;Native Speaker;;[Some text];Yes;[Some text];[Some text];[Some link];Thursday;;;;;Sunday;;;;;;;;;;;;;Friday, Saturday;;;;Saturday;;Friday;;;;Wednesday;;;;Tuesday;Yes, I do;[Some text];Yes
01/01/2022;mentee10@mail.com;mentor10;tor;08/01/2009;GMT +6;https://www.instagram.com/andreparedes06/;9860362830;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;;Language certificate;Self learning;Language certificate;Language certificate;;Language certificate;Language certificate;Language certificate;Language certificate;[Some text];Yes;[Some text];[Some text];[Some link];;;Saturday;Saturday;;;;;;;;Thursday;;;Saturday;Monday;Wednesday;Saturday;;;;;;;;;;;;;;;Sunday;Yes, I do;[Some text];Yes
01/01/2022;mentee11@mail.com;mentor11;tor;09/12/2009;GMT +5:45;https://www.instagram.com/andreparedes06/;2470858181;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Self learning;;;Native Speaker;Language certificate;Language certificate;Language certificate;Language certificate;Self learning;;Self learning;[Some text];Yes;[Some text];[Some text];[Some link];;;Wednesday;;;;;;;Thursday;;Monday;;Wednesday;;;;;;;;;;Monday, Friday;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee12@mail.com;mentor12;tor;26/05/2008;GMT -8;https://www.instagram.com/andreparedes06/;3639998653;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Language certificate;Native Speaker;Self learning;Language certificate;Native Speaker;Language certificate;Language certificate;Self learning;Self learning;Native Speaker;[Some text];No;[Some text];[Some text];[Some link];;Friday;;;;;;;;;;;;;;;;;;;;;Sunday;;;;;;;;Tuesday;;;Yes, I do;[Some text];Yes
01/01/2022;mentee13@mail.com;mentor13;tor;18/04/2000;GMT +3:30;https://www.instagram.com/andreparedes06/;8530360141;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Language certificate;Language certificate;Native Speaker;Language certificate;Language certificate;Language certificate;;;Native Speaker;;[Some text];No;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;Saturday;Sunday;;;;;;;;;;;;;Monday;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee14@mail.com;mentor14;tor;03/12/1999;GMT +5;https://www.instagram.com/andreparedes06/;1441562292;Male;Somewhere, Else;Not, Important;No;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Language certificate;Native Speaker;Language certificate;Language certificate;;;;;;Native Speaker;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;;;;Saturday;;;;;;;;;;;;;;;;;;;;;;Monday;Yes, I do;[Some text];Yes
01/01/2022;mentee15@mail.com;mentor15;tor;08/06/2001;GMT +10;https://www.instagram.com/andreparedes06/;7093659404;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;;Language certificate;Self learning;Native Speaker;;Native Speaker;Language certificate;Language certificate;Native Speaker;;[Some text];No;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monday;Saturday;Monday;;Yes, I do;[Some text];Yes
01/01/2022;mentee16@mail.com;mentor16;tor;21/07/2009;GMT +2;https://www.instagram.com/andreparedes06/;2513721696;Female;Somewhere, Else;Not, Important;No;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Self learning;Native Speaker;Native Speaker;;Self learning;Native Speaker;;;Language certificate;;[Some text];No;[Some text];[Some text];[Some link];;Thursday;;;;;;;Sunday;;;Wednesday;Wednesday;;;;;;;;Sunday;;Saturday;;;;Friday;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee17@mail.com;mentor17;tor;21/04/2009;GMT +5;https://www.instagram.com/andreparedes06/;4956741774;Prefer not to say;Somewhere, Else;Not, Important;No;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;Self learning;Language certificate;Native Speaker;;Language certificate;Self learning;;Language certificate;Language certificate;Native Speaker;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;;;;;;;;;;;Monday;;Tuesday;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee18@mail.com;mentor18;tor;07/06/2009;GMT +5:30;https://www.instagram.com/andreparedes06/;4649926454;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;;Native Speaker;Language certificate;Language certificate;Language certificate;Native Speaker;;Language certificate;;Self learning;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;;;;Wednesday;;;;;;;;;;;;Sunday;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee19@mail.com;mentor19;tor;29/12/2006;GMT +5:30;https://www.instagram.com/andreparedes06/;5546766019;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;;Self learning;;;;;Self learning;Language certificate;Self learning;Native Speaker;[Some text];Yes;[Some text];[Some text];[Some link];Sunday;;;;Saturday;;;;Monday;;;;;;;;;;;;;;;Saturday;;;;;Saturday;;;Friday, Sunday;;Yes, I do;[Some text];Yes
01/01/2022;mentee20@mail.com;mentor20;tor;23/01/1998;GMT +9;https://www.instagram.com/andreparedes06/;7150911931;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;;Native Speaker;;;Native Speaker;Self learning;;Native Speaker;Language certificate;Language certificate;[Some text];Yes;[Some text];[Some text];[Some link];Wednesday;;;;;Saturday;;;;;;Monday, Wednesday;;;;;;;;;;;;;;;;Wednesday;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee21@mail.com;mentor21;tor;12/04/2007;GMT -11;https://www.instagram.com/andreparedes06/;8986937896;[Other];Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;;Language certificate;;Language certificate;Language certificate;Native Speaker;Language certificate;Native Speaker;Language certificate;Language certificate;[Some text];No;[Some text];[Some text];[Some link];Sunday;;;;;;;;;;;;;;;;;;;;;;;;;;;Friday;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee22@mail.com;mentor22;tor;20/05/1998;GMT +8:45;https://www.instagram.com/andreparedes06/;8770178262;Male;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Self learning;;Language certificate;;;;;Language certificate;Self learning;;;[Some text];No;[Some text];[Some text];[Some link];;;Monday;;;;;;;;;;;;Tuesday;;;;;;;;Friday;;;;;;Thursday;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee23@mail.com;mentor23;tor;09/11/2009;GMT -3;https://www.instagram.com/andreparedes06/;8511504713;[Other];Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];;Language certificate;;Language certificate;Native Speaker;Language certificate;Language certificate;Self learning;;;Self learning;[Some text];Yes;[Some text];[Some text];[Some link];;;;;;;;;;;;Saturday;;;;;;;;;;;;;;;;;;;;;;Yes, I do;[Some text];Yes
01/01/2022;mentee24@mail.com;mentor24;tor;11/11/2004;GMT -3;https://www.instagram.com/andreparedes06/;7195821743;Female;Somewhere, Else;Not, Important;Yes;bot;ohn McCarthy;Instagram;[Some text];[Some text];[Some text];Language certificate;;;;;Language certificate;;Self learning;Self learning;;;[Some text];No;[Some text];[Some text];[Some link];;;;;;;;;;;;;;;Wednesday;;;;;;;;;Tuesday, Sunday;;Wednesday;;;;;;;;Yes, I do;[Some text];Yes
